Date,FXI_MCHI,FXI_KWEB,MCHI_KWEB,SYNC_INDEX
2016-12-13,0.958359925691615,0.694233099620575,0.8268876154593992,0.8264935469238631
2016-12-14,0.959446665701951,0.7003936935449953,0.8299181350731821,0.8299194981067095
2016-12-15,0.9596683223785427,0.698858197617394,0.8310323829694869,0.8298529676551412
2016-12-16,0.9605201776839664,0.7046023474768716,0.8335409839066495,0.8328878363558291
2016-12-19,0.9590331071338606,0.6986335263217408,0.8306913628686879,0.8294526654414298
2016-12-20,0.9597354235231319,0.7013537308776056,0.8304798153042859,0.8305229899016745
2016-12-21,0.9592201839356044,0.6897519258543088,0.8233147162484102,0.8240956086794412
2016-12-22,0.9596437877773177,0.6923731745118389,0.8248992382382137,0.8256387335091233
2016-12-23,0.9607334832143762,0.6913893011586036,0.823881855473198,0.825334879948726
2016-12-27,0.9607111177379684,0.6933494623744646,0.8252150319373541,0.8264252040165957
2016-12-28,0.9614288429643487,0.6922097613209826,0.8227248375613286,0.8254544806155533
2016-12-29,0.9617871911190183,0.6905979778376685,0.8206364167766556,0.8243405285777808
2016-12-30,0.9618906313988016,0.6917585917034702,0.8226923238426168,0.8254471823149628
2017-01-03,0.9621331458650765,0.6963767173328601,0.8268418623381105,0.8284505751786825
2017-01-04,0.9622472792242848,0.6997358301529307,0.8295035981546934,0.8304955691773029
2017-01-05,0.9627579820985569,0.7120004102670486,0.8387280220737591,0.8378288048131215
2017-01-06,0.9627947196077297,0.7121765697846009,0.8387968984520083,0.8379227292814463
2017-01-09,0.9625619850022571,0.7107754067014511,0.8380961786825047,0.837144523462071
2017-01-10,0.9627370384304903,0.7167247229155369,0.8426758403267817,0.8407125338909363
