Date,STRESS_INDEX,Z_VOL_RATIO,Z_VOL_FXI_30D
2025-01-23,0.5537737528802532,0.3398798580211702,0.7676676477393362
2025-01-24,-0.22760245320922828,-0.39816717889592046,-0.0570377275225361
2025-01-27,-0.5712074136104816,-0.757281605694782,-0.3851332215261811
2025-01-28,-0.5716772005827876,-0.7599767765123173,-0.38337762465325786
2025-01-29,-0.5663296233608164,-0.7539508692153529,-0.3787083775062798
2025-01-30,-0.5208117466075559,-0.7159541465622057,-0.3256693466529062
2025-01-31,-0.48748213158027887,-0.6867339730564703,-0.28823029010408735
2025-02-03,-0.5257888173476504,-0.7267985515800783,-0.3247790831152225
2025-02-04,-0.3611231654148319,-0.3937932595531557,-0.32845307127650814
2025-02-05,-0.30224963044096326,-0.33581979704324294,-0.2686794638386836
2025-02-06,-0.2601714654750958,-0.26277443767118214,-0.25756849327900944
2025-02-07,-0.26293357423166364,-0.2835148404413345,-0.24235230802199278
2025-02-10,-0.1554072525117629,-0.15289821094577136,-0.15791629407775443
2025-02-11,-0.13598942530142022,-0.13300283734769192,-0.1389760132551485
2025-02-12,-0.045521698773631505,-0.007349863038872411,-0.0836935345083906
2025-02-13,-0.063452535922015,-0.007958997856674099,-0.11894607398735589
2025-02-14,0.014782831238385884,0.08168728512246301,-0.05212162264569124
2025-02-18,-0.07131579238956304,-0.0046778944998535545,-0.1379536902792725
2025-02-19,-0.02237523874742469,0.08967871943083992,-0.1344291969256893
2025-02-20,-0.05042328944457407,0.05804271466115183,-0.15888929355029996
2025-02-21,-0.16221947493468486,-0.11759091946922473,-0.206848030400145
2025-02-24,0.07512049286668142,0.12226984230291485,0.02797114343044799
2025-02-25,-0.05432575863095615,0.061870357843213174,-0.17052187510512548
2025-02-26,0.0320388234451686,0.1548387034401591,-0.0907610565498219
2025-02-27,-0.04448554330770841,-0.017528024307437134,-0.07144306230797969
2025-02-28,0.11216763892635921,0.17423080335606947,0.050104474496648954
2025-03-03,0.11024075205551469,0.07629787304120625,0.14418363106982313
2025-03-04,0.09374427901730034,0.05801943858561959,0.1294691194489811
2025-03-05,0.35234849457579126,0.30790319215959255,0.39679379699198997
2025-03-06,0.26440542367068987,0.155826907306737,0.37298394003464275
2025-03-07,0.2658205144315315,0.15660372554610924,0.37503730331695373
2025-03-10,0.2092027930487238,-0.04571118632938287,0.46411677242683047
2025-03-11,0.23418376555974468,0.0004328771957026611,0.4679346539237867
2025-03-12,0.24654125763083215,0.026597074869236723,0.46648544039242756
2025-03-13,0.21395907913405748,-0.02928257257664763,0.4572007308447626
2025-03-14,0.15074133664747247,-0.18535923462317405,0.486841907918119
2025-03-17,0.08736206351791972,-0.2578013186888619,0.43252544572470136
2025-03-18,0.06975432977803228,-0.28319696911454156,0.4227056286706061
2025-03-19,0.03285768929901989,-0.3311669090115083,0.3968822876095481
2025-03-20,0.11680751262661351,-0.25108499577210674,0.48470002102533377
2025-03-21,0.1753536035891719,-0.1948603677342755,0.5455675749126193
2025-03-24,0.11453578134508755,-0.3047632323978056,0.5338347950879807
2025-03-25,0.07916536836638624,-0.3268017485193156,0.4851324852520881
2025-03-26,0.053015873357017906,-0.36485758905867155,0.47088933577270736
2025-03-27,0.006118840884463073,-0.40492506912679727,0.4171627508957234
2025-03-28,0.05664318985204847,-0.38376271354151076,0.4970490932456077
2025-03-31,-0.019833676051062482,-0.46059017512587525,0.4209228230237503
2025-04-01,-0.023643514170792246,-0.4636322581062413,0.4163452297646568
2025-04-02,-0.03186691126631774,-0.4783242052454989,0.4145903827128634
2025-04-03,-0.2477287319439872,-0.8725616749298741,0.37710421104189973
2025-04-04,0.019611913570145634,-0.8752386648870268,0.9144624920273181
2025-04-07,0.4378093578121311,-0.5986704049093544,1.4742891205336166
2025-04-08,0.42122715087518,-0.6167608263388772,1.4592151280892371
2025-04-09,0.3682385559934225,-1.1278904377383223,1.8643675497251673
2025-04-10,0.3421178075528686,-1.176419823459625,1.8606554385653622
2025-04-11,0.43966317428191803,-1.1317427488984955,2.0110690974623315
2025-04-14,0.4317196454361897,-1.133932371884687,1.9973716627570663
2025-04-15,0.4196356116130202,-1.137502554742913,1.9767737779689534
2025-04-16,0.2841793091100575,-1.2073113838819038,1.7756700021020189
2025-04-17,0.28339835304407757,-1.2030341342893895,1.7698308403775447
2025-04-21,0.2786811687716242,-1.2133718928468666,1.770734230390115
2025-04-22,0.31209916547504946,-1.2023340366637953,1.8265323676138943
2025-04-23,0.3079641711881841,-1.2091705174215348,1.825098859797903
2025-04-24,0.30780110722033827,-1.218350335573709,1.8339525500143856
2025-04-25,0.3057131861643324,-1.2166201754390804,1.8280465477677452
2025-04-28,0.2542164735161313,-1.2320640922648938,1.7404970392971564
2025-04-29,0.21179204334148583,-1.2517560850402778,1.6753401717232494
2025-04-30,0.21494708479205016,-1.2478689316828697,1.67776310126697
2025-05-01,0.21606635230040883,-1.2459058377061845,1.6780385423070021
2025-05-02,0.24948945281469448,-1.2342971872086865,1.7332760928380755
2025-05-05,0.23305326156173578,-1.2428917778030295,1.708998300926501
2025-05-06,0.24477049231100534,-1.2319452199968661,1.7214862046188768
2025-05-07,0.26691915462848703,-1.2216976934149006,1.7555360026718747
2025-05-08,0.28374300702780797,-1.211782364320309,1.7792683783759249
2025-05-09,0.2758582711773421,-1.215410803992892,1.767127346347576
2025-05-12,0.309294453968442,-1.2117457965759164,1.8303347045128004
2025-05-13,0.31366584985801327,-1.2096603830642234,1.83699208278025
2025-05-14,0.32647224097817584,-1.2036079807157734,1.856552462672125
2025-05-15,0.3386699575829728,-1.1976200692087295,1.8749599843746751
2025-05-16,0.3756461749923584,-1.1167982665089267,1.8680906164936435
2025-05-19,0.1290297771238268,-1.1335283110366425,1.3915878652842961
2025-05-20,-0.45272737223994486,-1.4455746276686787,0.540119883188789
2025-05-21,-0.4779329371637115,-1.460256628809803,0.5043907544823799
2025-05-22,-0.6221604256106611,-1.1705748272557426,-0.0737460239655797
2025-05-23,-0.49171636401799546,-0.900269213658615,-0.08316351437737586
2025-05-27,-0.7003126182886814,-1.08064896829941,-0.3199762682779528
2025-05-28,-0.6975522775182386,-1.0819211552310009,-0.31318339980547627
2025-05-29,-0.693238394597381,-1.0753405659302469,-0.3111362232645152
2025-05-30,-0.6767566547795005,-0.9980004084043356,-0.3555129011546655
2025-06-02,-0.6702191596677958,-0.9920252753141847,-0.3484130440214067
2025-06-03,-0.5743436364003283,-0.8075231190862624,-0.3411641537143941
2025-06-04,-0.610048917035037,-0.7734521996692005,-0.44664563440087357
2025-06-05,-0.6090046072251786,-0.7620827525077278,-0.4559264619426293
2025-06-06,-0.5662347477452999,-0.672967310016393,-0.45950218547420685
